city,cloudiness,country,date_list,humidity,Lat_List,Lng_List,Max_Temp_List,Wind_Speed_List
Naze,83,JP,1623713961,84,28.3667,129.4833,77.92,10.8
Praia da Vitória,40,PT,1623714096,83,38.7333,-27.0667,70.05,4.7
Mahébourg,75,MU,1623714097,94,-20.4081,57.7,71.89,5.75
Bamako,40,ML,1623714097,78,12.65,-8.0,73.81,8.05
Pentecoste,16,BR,1623714098,91,-3.7928,-39.2703,80.67,3.06
Pochutla,99,MX,1623714098,88,15.7432,-96.4661,83.25,1.05
Krasnosel'kup,46,RU,1623714098,86,65.7,82.4667,61.54,10.71
Mareeba,58,AU,1623714099,87,-17.0,145.4333,73.44,3.74
Krasnovishersk,76,RU,1623714099,99,60.4078,57.082,58.51,3.42
Sars,100,RU,1623714100,95,56.5502,57.1366,60.53,5.84
Aswān,0,EG,1623714100,21,24.0934,32.907,81.82,15.46
Puri,100,IN,1623714100,77,19.8,85.85,83.37,17.45
Waitara,95,NZ,1623714101,95,-38.925,174.25,60.71,15.97
Conceição do Araguaia,0,BR,1623714101,78,-8.2578,-49.2647,80.73,3.44
Iskateley,56,RU,1623714102,80,67.6803,53.1512,47.34,7.11
Oistins,40,BB,1623714102,69,13.0667,-59.5333,80.69,18.41
Haines Junction,83,CA,1623714103,48,60.7522,-137.5108,62.55,5.75
Kurumkan,21,RU,1623714103,58,54.3,110.3,58.28,1.34
Beloha,0,MG,1623713997,90,-25.1667,45.05,60.48,5.41
Ribeira Grande,15,PT,1623714104,80,38.5167,-28.7,69.46,5.35
Sibolga,94,ID,1623714104,87,1.7427,98.7792,77.76,2.15
Richards Bay,73,ZA,1623714104,92,-28.783,32.0377,63.55,2.75
Yulara,0,AU,1623714105,71,-25.2406,130.9889,46.24,0.0
Riyadh,0,SA,1623713987,12,24.6877,46.7219,87.85,5.75
Vila,63,PT,1623714105,88,42.0304,-8.1588,63.48,4.38
São Filipe,90,CV,1623714106,71,14.8961,-24.4956,74.73,10.94
Yerbogachën,61,RU,1623714106,70,61.2767,108.0108,53.46,5.44
Wankyi,13,GH,1623714107,91,7.7392,-2.1046,72.77,4.68
Miles City,1,US,1623714107,22,46.4083,-105.8406,99.57,17.27
Tashtyp,80,RU,1623714107,91,52.7939,89.8983,52.27,0.89
Korla,26,CN,1623714108,44,41.7597,86.1469,62.98,1.59
Prince Rupert,75,CA,1623714108,73,54.3161,-130.3201,60.89,11.5
